Reference,Value,Quantity,Package,Manufacturer,Part Number,Distributor,Unit Cost,Total Cost,Notes
U1,STM32H745ZIT6,1,LQFP144,STMicroelectronics,STM32H745ZIT6,Digi-Key,45.50,45.50,"Dual-core MCU, 480/240 MHz, 2MB Flash, 2MB RAM"
U2,TPS62133ADBVT,1,VSON-8,Texas Instruments,TPS62133ADBVT,Digi-Key,3.75,3.75,"Buck converter, 12V to 5V, 1A output"
U3,LDO 3V3 500mA,1,SOT-223,TI/NXP,LM1117-3.3,Digi-Key,0.45,0.45,"Linear regulator, 5V to 3.3V, 500mA"
U4,LDO 1V8 200mA,1,SOT-223,TI/NXP,LD1117-1.8,Digi-Key,0.45,0.45,"Linear regulator, 3.3V to 1.8V, 200mA"
U5,ICM-20689,1,LQFP-24,InvenSense/TDK,ICM-20689,Digi-Key,15.80,15.80,"9-axis IMU (3-axis accel/gyro/mag), 1kHz sampling"
U6,VL53L0X,1,10-pin LGA,STMicroelectronics,VL53L0X,Digi-Key,12.40,12.40,"Laser rangefinder ToF sensor, 30-1200mm"
U7,W25Q128JV,1,SOIC-16,Winbond,W25Q128JVSIQ,Digi-Key,2.85,2.85,"16MB QSPI Flash, 108MHz, 3V3"
U8,AT24C256C,1,SOIC-8,Microchip,AT24C256C-PU,Digi-Key,1.20,1.20,"32KB I2C EEPROM, 400kHz"
U9,CP2102N,1,QFN-28,Silicon Labs,CP2102N-A01-GQFR,Digi-Key,4.80,4.80,"USB to UART bridge, UART2 debug interface"
U10,BT121-A,1,WLCSP-20,Qorvo,BT121-A-F512,Digi-Key,18.50,18.50,"Bluetooth 5.0 module (future v1.5+, optional)"
U11,MCP9808,1,SOIC-8,Microchip,MCP9808-M/MS,Digi-Key,2.10,2.10,"Barrel temperature sensor, I2C, ±0.5°C"
U12,BMP390,1,LGA-8,Bosch,BMP390,Digi-Key,8.75,8.75,"Pressure + ambient temperature, SPI/I2C"
X1,8MHz Crystal,1,HC-49,SiTime,SiT1533AI-82-33E-40.0-80,Digi-Key,0.95,0.95,"8MHz HSE crystal for PLL (480MHz/240MHz)"
C1,100nF,20,0603,Various,GRM188R61A104KA01L,Digi-Key,0.02,0.40,"Decoupling capacitor, all power rails"
C2,10µF,8,0805,Various,GRM31CR61A106KE19L,Digi-Key,0.08,0.64,"Bulk decoupling, input/output of regulators"
C3,1µF,4,0603,Various,GRM31CR61A105KE19L,Digi-Key,0.03,0.12,"Bypass capacitor, analog supplies"
C4,22pF,2,0603,Various,GRM188R71A220KA01L,Digi-Key,0.02,0.04,"Crystal load capacitor (pair, 1% matched)"
R1,10k,4,0603,Various,CRCW060310K0FKED,Digi-Key,0.01,0.04,"Pull-up resistor: I2C (2x), boot/reset (2x)"
R2,4.7k,2,0603,Various,CRCW06034700FKED,Digi-Key,0.01,0.02,"USB pull-down resistors (DP/DM)"
R3,50Ω,6,0603,Various,CRCW060350R0FKED,Digi-Key,0.02,0.12,"Series termination: SPI clock/data lines (3x), QSPI (3x)"
R4,10mΩ,1,2512,Vishay,WSLP2512R0100FEA,Digi-Key,0.25,0.25,"Current sense resistor in main power rail"
L1,4.7µH,1,1210,Various,CDRH127R-4R7MC,Digi-Key,0.15,0.15,"Inductor for buck converter (TPS62133A)"
D1,1N5819,1,SOD-123,Vishay,1N5819WS,Digi-Key,0.08,0.08,"Schottky diode, reverse-polarity protection (12V input)"
FB1,Ferrite Bead,1,0603,Various,BLM18KG471SN1D,Digi-Key,0.05,0.05,"EMI filter on UART2 TX line"
SW1,Tactile Switch,2,SMD 6mm,C&K,PTS645SM43SMTR92 LFS,Digi-Key,0.22,0.44,"BOOT0 (firmware update), NRST (hard reset)"
J1,USB Mini-B,1,Micro-USB,Amphenol,UX90-MB-5ST-EMI,Digi-Key,0.85,0.85,"USB HS OTG connector (12 Mbps dual-role)"
J2,UART Header,1,1x3 2.54mm,Amphenol,FCI 20021121-00010C4LF,Digi-Key,0.35,0.35,"UART2 debug: TX/RX/GND (3-pin male)"
J3,SWD Connector,1,10-pin 1.27mm ARM,Amphenol,SAMTEC FTSH-105-01-F-DV-K,Digi-Key,2.50,2.50,"ARM Cortex SWD debug interface (ST-Link compatible)"
J4,Sensor Connector,1,14-pin JST GH,JST,B14B-GH-SM4-P-0.8,Digi-Key,0.75,0.75,"Barrel temp / rangefinder sensor connector (expansion)"
Y1,12MHz USB Clock,0,LQFP-4,Various,TBD,TBD,0.00,0.00,"Optional: USB HS ref clock (MCU PLL can self-generate)"
TP1,Test Point,8,Multipoint,Various,Keystone 5000,Digi-Key,0.12,0.96,"VCC_3V3, VCC_1V8, VREF, GND (x2), USB_D+, USB_D-"
PCB,4-layer PCB,1,Custom,Sierra Circuits,Quoted,Sierra Circuits,85.00,85.00,"4-layer FR-4, 1.6mm, 2oz copper, solder mask, silk screen"
Assy,Board Assembly,1,PCBA,Various,Manual/Auto,Local,120.00,120.00,"Pick & place, reflow soldering, AOI inspection, x-ray"
,,,,,,,SUBTOTAL:,$343.46,
,,,,,,,Contingency (10%):,$34.35,
,,,,,,,ESTIMATED UNIT COST:,$377.81,"Cost per board at 1-unit build"
